user;tanggal;score;content;;
obral Tas;18/04/2026;1;aplikasi error, tulisannya handshake failed, di android 9;;
Rochman Wijayanti;14/04/2026;5;okey;;
Mr 13;14/04/2026;1;sering error aplikasinya;;
zero enternity;13/04/2026;2;app membantu dan mempermudah customer .mau dikasih *7 ga ada, saya kisih ** dulu, app Honde e care loadingnya ngesot;;
Lukman Hakim;28/03/2026;5;good;;
Kartidie. E;25/03/2026;4;bagus dan bagus;;
IBenk Suyudi;18/03/2026;3;aplikasi nya eror yakk;;
Ki Suwandi;18/03/2026;5;sangat membantu;;
Farrij Odie;10/03/2026;1;"aplikasi tidak berfungsi dengan kendala ""tidak ada jaringan"" padahal koneksi internet baik wifi maupun seluler tidak ada kendala";;
Fadli Rahman;09/03/2026;5;aplikasihnya bgus;;
Yandri Gen;07/03/2026;5;Pelayanan dan informasi sangat baik;;
Didin Suhayadi;05/03/2026;5;puas bgt lah;;
joko sulistomo;05/03/2026;2;tgl 3-3-26 selasa kmrn servis tapi history belum nambah yg baru lemot amad nih aplikasi;;
Feri Sudirman;28/02/2026;5;pelayanan bagus terutama pak Budi selles nya cara marketingnya keren;;
Galih putra;30/01/2026;1;aplikasi tidak berguna, login berulang kali tidak bisa.;;
Ahmed Setiawan;19/01/2026;5;ok;;
Yoesuf;17/01/2026;5;ok;;
Galih Afrianto;07/01/2026;5;sangat sangat memuaskan;;
Muhammad Choiri;05/01/2026;5;Sangat baik pelayanannya;;
Atep syahreja official;02/01/2026;5;pelayanan nya luar biasa bagus banget;;
Rudi Salam;31/12/2025;4;aplikasinya sangat membantu konsumen seperti saya;;
Robet Sianturi;31/12/2025;5;Pelayanan sangat baik dan informasi yang di berikan sangat memuaskan;;
Armi Hindratno;30/12/2025;4;pelayanan bagus;;
Muhamad Indra;30/12/2025;5;aplikasi ini bagus cepat dan cara menanggapi nya bagus;;
Imam Ahmad;29/12/2025;5;pelayanan bagus;;
Nunung Sukaeti;29/12/2025;5;pelayanan baik dan ramah;;
Kusuma Ulin;29/12/2025;5;customer service bengkel sangat membantu, ramah dan byk kasih inpit baik ttg kondisi kendaraan kita. trima kasih;;
Jeka Putra;23/12/2025;5;pelayanannya ramah,ruang tunggunya dan menu yg tersedia mantap dan pastinya gratis snacknya. pokoknya puas;;
Mamur Deden;22/12/2025;5;pelayanan mwmuaskan;;
tar toe;20/12/2025;2;satu slot jam booking bisa diisi lebih dari satu mobil...antre2 juga tidak ada bedanya dengan tanpa booking untuk honda bintaro tolong dibenahi;;
Muhammad Zaini;19/12/2025;5;terbaik;;
ofiq fauzi ridwan;16/12/2025;5;bagus nih cs honda pelayanannya;;
Tega Wiratama;15/12/2025;5;aplikasi nya sangat membantu;;
rendy juna;12/12/2025;1;gagal terus, udh scan barcode udh data d nopol bener tetep aja salah pdhl kan ini motor data y bener d STNK;;
Limeria Sangga;08/12/2025;5;oke;;
zahidi kamaluddin;06/12/2025;5;pelayanan penjelasan cukup jelas , ramah dan menunggu sambil minum kopi.terimakasih.;;
Lindu Purnomo;01/12/2025;5;memuaskan;;
Fransisca Cas;18/11/2025;5;Pelayanan nya ramah dan bagus mengerjakan nya..;;
anna Nuraena;06/11/2025;5;pelayanannya bagus, sangat memuaskan👍;;
Dufia galon Dufia;04/11/2025;5;pelayanan nya sangat bagus,sales nya jg baik;;
sulis handoko;03/11/2025;5;bagus;;
Edi Nadia;30/10/2025;5;terima kasih;;
Rifka Argandini;29/10/2025;5;Baik, pelayanan bagus;;
Reza Aprianto;23/10/2025;5;bagus;;
Muh Taqwa;09/10/2025;1;Nopol tidak sesuai dengan data sebelumnya, berubah sendiri, di update tidak bisa;;
ALBERKO;07/10/2025;5;memuaskan;;
zainal jo;07/10/2025;5;sangat baik ,...;;
Heru Widodo;07/10/2025;5;penyampaian informasi mudah di mengerti, ramah dan nyaman.;;
elfridagusti gultom;05/10/2025;5;good service;;
Ani lim;01/10/2025;5;sangat bagus pelayanannya;;
Widi Fafa;22/09/2025;5;Honda magelang, Pelayanan service berkala ok, selalu mengingatkan customer dan melayani customer dengan baik, mantap honda tunas jaya magelang;;
jang fjr;13/09/2025;5;ramah2x smuanya ruang tunggunya nyaman skali;;
Aries7an;17/08/2025;5;Aplikasi cukup membantu proses service;;
Dafan Andriansyah;15/08/2025;1;gabisa masukin data kendaraan. ngebug trus force close;;
Doni Kurniawan;15/08/2025;1;habis di uptade , tidak bisa boking servis data2 ilang semua udh dimasukin ulang tetep g bisaa;;
Arjat Waiswa;12/08/2025;5;Cukup membantu;;
Dedi Supandi;10/08/2025;5;membantu;;
Sandi Kurniawan;28/07/2025;5;good;;
nani rosianingsih;26/07/2025;4;bermanfaat, tidak perlu ribet, tinggal catat semua keluhan ,pilih jam service beres;;
Dema Wikatama;15/07/2025;5;good app, easy to our car maintenance booked.;;
Adi Nugroho;14/07/2025;5;teknisinya ramah dan komunikatif dalam melakukan tugasnya,serta ruang tunggunya nyaman jaga terus kualitas pelayanan.;;
Kunto Aji;13/07/2025;5;aplikasi jelas membantu;;
Mas Bro;12/07/2025;5;layanan baik;;
Anton Lirpa;09/07/2025;5;sangat puas,dgn pelayananya.👍👍👍;;
Tody F;08/07/2025;4;praktis;;
Fatha Rachmana;08/07/2025;5;Bagus;;
Nasrum P2tl;08/07/2025;5;Sangat membantu untuk layanan service;;
Kusmulyadi Yadi;08/07/2025;5;mantap;;
Khairuddin;08/07/2025;5;Mantap;;
Muhammad Farikhin;07/07/2025;4;lumayan ok;;
Nasril Afriandy;07/07/2025;5;keren;;
Abam Sudrajat;07/07/2025;4;area untuk penulisan, penjelasan permasalahan, sangat terbatas. tambahkan jumlah kata yang bisa ditampung! misalnya maksimal 500 atau 700 huruf!;;
Wawan Gernawan;07/07/2025;5;mantap trus ya honda makassar indah;;
Trimana Trimana;06/07/2025;5;responsif;;
EMY CORINA;04/07/2025;5;puas;;
ning seputro;03/07/2025;5;pelayanannya sangat memuaskan;;
Echa Okdinata;03/07/2025;5;bagus;;
kartika dewi;03/07/2025;5;sangat efisien;;
Eka Cerya panca karsa;02/07/2025;5;mantap;;
soe onedy;02/07/2025;5;ok;;
muhammad jamil;01/07/2025;5;biasanya di Honda Union kini beralih ke Honda Bin tang Cimone;;
Andre Ferdian;01/07/2025;2;Pelayanan di Gajah Motor Bypass Padang kurang bagus, saya booking via aplikasi jam 08.30 padahal saya sudah standby sebelum jam 08.30 tetapi jam 08.45 baru dilayani, kalau karyawan Customer Service masuk jam 08.30 kenapa terima layanan service sebelum jam 08.30 ada, kan Customer jadi menunggu cukup lama untuk dilayani..;;
liberti siahaan;01/07/2025;3;Pelayanan memuaskan;;
Arif Hidayat;29/06/2025;5;ok;;
wahid efendi;27/06/2025;5;good;;
R Han;27/06/2025;4;ok;;
zaenal arifin;27/06/2025;5;good aplikasi;;
Komandan Crowns;25/06/2025;2;habis upgrade sering lelet;;
Sekarningsih aksa;24/06/2025;5;pelayanan baik;;
Amir Samsung;24/06/2025;5;pelayanan baik;;
Tri Pratiwi;24/06/2025;1;tidak bisa mendaftarkan mobil padahal sudah di coba berulang kali;;
Harmoko Studio;23/06/2025;5;membantu;;
Azalea Umaiza;23/06/2025;4;bagus;;
iwan jtk;23/06/2025;5;mantap praktis;;
Hms Team;23/06/2025;5;aplikasi bagus;;
noor ichsan;22/06/2025;5;adanya app ini memudahkan saya booking;;
Achmad Bustomi;22/06/2025;4;praktis;;
Yoga Asprila;20/06/2025;5;good;;
heru santoso;19/06/2025;5;layanan prima dan memuaskan;;
Milfa Yetti;17/06/2025;5;sangat baik;;
Setyawan ahmad;16/06/2025;5;good;;
eko kustiyanto;16/06/2025;5;sangat membantu customer;;
Soegiyanto Soelaiman;14/06/2025;5;Booking Service lewat Honda e-care nya sangat membantu sekali.;;
Arrayan Arrahahman;12/06/2025;5;Perfect;;
Gunawan Varta Adrian;11/06/2025;5;ok;;
Nanu Rudiyana Official;11/06/2025;5;Respon cepat, pengerjaan cepat dan sesuai;;
Pepen Ependi;10/06/2025;5;service berkala di Honda paling mantap;;
Victor Immanuel;09/06/2025;5;Pelayanan yang selalu memuaskan;;
Albar El Fajry;09/06/2025;5;memudahkan dalam booking service 😁👍;;
Bob Yanto;09/06/2025;5;Bagus;;
pancer lumbantoruan;08/06/2025;5;pelayanannya mantap;;
elpina Simanjuntak;07/06/2025;5;Honda Prima Harapan Indah pokoknya keren dan bagus bisa dipercaya🙏;;
turyanto 81;07/06/2025;5;mudah dan cepat;;
Tri M;05/06/2025;5;ok;;
ini iqbal;05/06/2025;5;sangat membantu aplikasi. sukses honda. masukan perbaikannya agar ditindaklanjuti;;
Indra Iriandi;05/06/2025;5;bagus;;
Garin Hendro;04/06/2025;5;pelayanan yg ramah , & serfis yg memuaskan;;
Santo Zen;03/06/2025;5;memudahkan booking service;;
MJ PRASETIO;03/06/2025;5;oke banget;;
HIDAYATULLAH AMK;02/06/2025;2;hbis update, menu tdk bisa klik apa²;;
Putu Kresna;02/06/2025;3;layar halaman utama tidak merespon ketika dipencet;;
Agung Praka;02/06/2025;5;ok pelayanan ny;;
