content,label,cleaned_text
"aplikasi error, tulisannya handshake failed, di android 9",negatif,aplikasi error tulis handshake failed android
okey,positif,okey
sering error aplikasinya,negatif,error aplikasi
"app membantu dan mempermudah customer .mau dikasih *7 ga ada, saya kisih ** dulu, app Honde e care loadingnya ngesot",negatif,aplikasi bantu mudah customer kasih tidak kisih aplikasi honde care loadingnya ngesot
good,positif,good
bagus dan bagus,positif,bagus bagus
sangat membantu,positif,bantu
"aplikasi tidak berfungsi dengan kendala ""tidak ada jaringan"" padahal koneksi internet baik wifi maupun seluler tidak ada kendala",negatif,aplikasi tidak fungsi kendala tidak jaring koneksi internet wifi seluler tidak kendala
aplikasihnya bgus,positif,aplikasihnya bgus
Pelayanan dan informasi sangat baik,positif,layan informasi
puas bgt lah,positif,puas banget
tgl 3-3-26 selasa kmrn servis tapi history belum nambah yg baru lemot amad nih aplikasi,negatif,tgl selasa kmrn servis history belum nambah yg lot amad nih aplikasi
pelayanan bagus terutama pak Budi selles nya cara marketingnya keren,positif,layan bagus budi selles nya marketingnya keren
"aplikasi tidak berguna, login berulang kali tidak bisa.",negatif,aplikasi tidak guna login ulang kali tidak
ok,positif,ok
sangat sangat memuaskan,positif,muas
Sangat baik pelayanannya,positif,layan
pelayanan nya luar biasa bagus banget,positif,layan nya bagus banget
aplikasinya sangat membantu konsumen seperti saya,positif,aplikasi bantu konsumen
Pelayanan sangat baik dan informasi yang di berikan sangat memuaskan,positif,layan informasi muas
pelayanan bagus,positif,layan bagus
aplikasi ini bagus cepat dan cara menanggapi nya bagus,positif,aplikasi bagus cepat tanggap nya bagus
pelayanan baik dan ramah,positif,layan ramah
"customer service bengkel sangat membantu, ramah dan byk kasih inpit baik ttg kondisi kendaraan kita. trima kasih",positif,customer service bengkel bantu ramah byk kasih inpit ttg kondisi kendara trima kasih
"pelayanannya ramah,ruang tunggunya dan menu yg tersedia mantap dan pastinya gratis snacknya. pokoknya puas",positif,layan ramah ruang tunggu menu yg sedia mantap pasti gratis snacknya pokok puas
pelayanan mwmuaskan,positif,layan mwmuaskan
satu slot jam booking bisa diisi lebih dari satu mobil...antre2 juga tidak ada bedanya dengan tanpa booking untuk honda bintaro tolong dibenahi,negatif,slot jam booking isi mobil antre tidak beda booking honda bintaro tolong benah
terbaik,positif,baik
bagus nih cs honda pelayanannya,positif,bagus nih cs honda layan
aplikasi nya sangat membantu,positif,aplikasi nya bantu
"gagal terus, udh scan barcode udh data d nopol bener tetep aja salah pdhl kan ini motor data y bener d STNK",negatif,gagal scan barcode data nopol bener tetep salah pdhl motor data bener stnk
oke,positif,oke
"pelayanan penjelasan cukup jelas , ramah dan menunggu sambil minum kopi.terimakasih.",positif,layan jelas ramah tunggu minum kopi terimakasih
memuaskan,positif,muas
Pelayanan nya ramah dan bagus mengerjakan nya..,positif,layan nya ramah bagus nya
"pelayanannya bagus, sangat memuaskan👍",positif,layan bagus muas
"pelayanan nya sangat bagus,sales nya jg baik",positif,layan nya bagus sales nya
bagus,positif,bagus
terima kasih,positif,terima kasih
"Baik, pelayanan bagus",positif,layan bagus
"Nopol tidak sesuai dengan data sebelumnya, berubah sendiri, di update tidak bisa",negatif,nopol tidak sesuai data ubah update tidak
"penyampaian informasi mudah di mengerti, ramah dan nyaman.",positif,sampai informasi mudah erti ramah nyaman
good service,positif,good service
sangat bagus pelayanannya,positif,bagus layan
"Honda magelang, Pelayanan service berkala ok, selalu mengingatkan customer dan melayani customer dengan baik, mantap honda tunas jaya magelang",positif,honda magelang layan service kala ok customer layan customer mantap honda tunas jaya magelang
ramah2x smuanya ruang tunggunya nyaman skali,positif,ramah smuanya ruang tunggu nyaman skali
Aplikasi cukup membantu proses service,positif,aplikasi bantu proses service
gabisa masukin data kendaraan. ngebug trus force close,negatif,gabisa masukin data kendara ngebug trus force close
